year,title,binary,budget,domgross,intgross,totalgross
2012,Snow White and the Huntsman,PASS,170000000,155136755,400911200,556047955
2012,Sparkle,PASS,10000000,24397469,24660323,49057792
2012,Spring Breakers,PASS,5000000,14124286,30669531,44793817
2012,Step Up Revolution,PASS,33000000,35074677,165552290,200626967
2012,Supporting Characters,FAIL,60000,4917,4917,9834
2012,Ted,FAIL,50000000,218665740,549444574,768110314
2012,That&#39;s My Boy,FAIL,67500000,36931089,58058367,94989456
2012,The Amazing Spider-Man,FAIL,220000000,262030663,757890267,1019920930
2012,The Avengers,FAIL,60000000,23385416,48585416,71970832
2012,The Dark Knight Rises,FAIL,275000000,448139099,1079343943,1527483042
2012,The Devil Inside,PASS,1000000,53261944,101758489,155020433
2012,The Dictator,FAIL,65000000,59650222,179379532,239029754
2012,The Expendables 2,PASS,100000000,85028192,311979256,397007448
2012,The Grey,FAIL,25000000,51580136,84339696,135919832
2012,The Hobbit: An Unexpected Journey,FAIL,250000000,303003568,1014703568,1317707136
2012,The Hunger Games,PASS,80000000,408010692,684510692,1092521384
2012,The Impossible,FAIL,40000000,19019882,169590606,188610488
2012,The Man with the Iron Fists,FAIL,15000000,15634090,21985095,37619185
2012,The Master,FAIL,37500000,16247159,25116740,41363899
2012,The Pirates! Band of Misfits,FAIL,55000000,31051126,123056220,154107346
2012,The Place Beyond the Pines,FAIL,15000000,21403519,47011449,68414968
2012,The Twilight Saga: Breaking Dawn - Part 2,FAIL,136200000,292324737,832660037,1124984774
2012,The Vow,PASS,8738320,125014030,197618160,322632190
2012,The Watch,FAIL,55000000,34353000,67353000,101706000
2012,The Woman in Black,FAIL,15000000,54333290,128955898,183289188
2012,The Words,FAIL,6000000,11494838,12132578,23627416
2012,Think Like a Man,PASS,12000000,91547205,96155124,187702329
2012,To Rome With Love,FAIL,21500000,16684352,74363777,91048129
2012,Total Recall,FAIL,125000000,58877969,198615996,257493965
2012,Underworld: Awakening,PASS,70000000,62321039,160379930,222700969
2012,Wanderlust,PASS,32500000,17288155,24159934,41448089
2012,What to Expect When You&#39;re Expecting,PASS,37500000,41152203,80652203,121804406
2012,Won&#39;t Back Down,PASS,19000000,5310554,5431486,10742040
2012,Wrath of the Titans,FAIL,150000000,83670083,301970083,385640166
2012,Wreck-It Ralph,PASS,165000000,189412677,473412677,662825354
2012,Zero Dark Thirty,PASS,52500000,95720716,137720716,233441432
2011,30 Minutes or Less,FAIL,28000000,37053924,40966716,78020640
2011,50/50,FAIL,8000000,35016118,41334735,76350853
2011,A Dangerous Method,FAIL,20000000,5702083,14807531,20509614
2011,A Lonely Place to Die,PASS,4000000,N/A,442550,#VALUE!
2011,A Very Harold &amp; Kumar 3D Christmas,FAIL,20000000,35061031,36265745,71326776
2011,Another Earth,PASS,175000,1321194,1781194,3102388
2011,Apollo 18,FAIL,5000000,17686929,26517819,44204748
2011,Arthur Christmas,FAIL,85000000,46462469,147624649,194087118
2011,Attack the Block,PASS,13000000,1024175,5406422,6430597
2011,Bad Teacher,PASS,19000000,100292856,216412265,316705121
2011,Battle: Los Angeles,FAIL,70000000,83552429,212005201,295557630
2011,Beastly,FAIL,17000000,27865571,38028230,65893801
2011,Blackthorn,FAIL,4500000,200558,1249765,1450323
2011,Bridesmaids,PASS,32500000,169106725,289263136,458369861
2011,Captain America: The First Avenger,FAIL,140000000,176654505,370569776,547224281
2011,Cars 2,FAIL,200000000,191450875,560155383,751606258
2011,Circumstance,PASS,900000,454121,454121,908242
2011,Colombiana,FAIL,40000000,36665854,71698079,108363933
2011,Conan the Barbarian,FAIL,20000000,38264085,79114085,117378170
2011,Contagion,PASS,60000000,75658097,137551594,213209691
2011,Coriolanus,FAIL,10000000,749641,1049641,1799282
2011,Cowboys &amp; Aliens,FAIL,163000000,100240551,175910315,276150866
2011,Detention,PASS,10000000,N/A,N/A,#VALUE!
2011,Diary of a Wimpy Kid: Rodrick Rules,FAIL,18000000,52698535,73695194,126393729
2011,Dolphin Tale,FAIL,37000000,72286779,96068724,168355503
2011,Dream House,PASS,50000000,21302340,39932340,61234680
2011,Drive,FAIL,15000000,35060689,78054825,113115514
2011,Fast Five,PASS,125000000,209837675,629841284,839678959
2011,Final Destination 5,FAIL,40000000,42587643,157887643,200475286
2011,Footloose,PASS,24000000,51802742,63412773,115215515
2011,Fright Night,FAIL,30000000,18298649,40520649,58819298
2011,Green Lantern,FAIL,200000000,116601172,231201172,347802344
2011,Hall Pass,FAIL,36000000,45060734,83693266,128754000
2011,Hanna,PASS,30000000,40259119,65343694,105602813
2011,Harry Potter and the Deathly Hallows: Part 2,FAIL,125000000,381011219,1328111219,1709122438
2011,Haywire,FAIL,23000000,18942396,22176190,41118586
2011,Hesher,FAIL,7000000,382946,382946,765892
2011,Higher Ground,PASS,1800000,841056,859182,1700238
